AssetID;PriceTime;AssetPrice;Currency
US5949181045;2024-02-20 19:18:30.000;369.71;EUR
CH0038863350;2024-02-20 19:18:30.000;104.55;EUR
DK0062498333;2024-02-20 19:18:30.000;112.22;EUR
US7427181091;2024-02-20 19:18:30.000;147.14;EUR
DE0007165607;2024-02-20 19:18:30.000;260.5;EUR
GB00B03MLX29;2024-02-20 19:18:30.000;29.315;EUR
JP3358000002;2024-02-20 19:18:30.000;123.5;EUR
LU1737653631;2024-02-20 19:28:20.000;45.891;EUR
Gold;2024-02-20 19:28:20.000;1876.59;EUR
BTC;2024-02-20 19:28:20.000;47573.32;EUR
USD;2024-02-20 19:28:20.000;1.0809;EUR
FR0010315770;2024-02-20 19:28:20.000;299.64;EUR
IE00BKM4GZ66;2024-02-20 19:28:20.000;29.479;EUR
DE0008474503;2024-02-20 19:28:20.000;122.56;EUR
CA0679011084;2024-02-20 19:28:20.000;13.568;EUR
US0846707026;2024-02-20 19:28:20.000;378.13;EUR
US1912161007;2024-02-20 19:28:20.000;56.079;EUR
US5949181045;2024-02-20 19:28:20.000;369.71;EUR
CH0038863350;2024-02-20 19:28:20.000;104.55;EUR
DK0062498333;2024-02-20 19:28:20.000;112.16;EUR
US7427181091;2024-02-20 19:28:20.000;147.14;EUR
DE0007165607;2024-02-20 19:28:20.000;260.5;EUR
GB00B03MLX29;2024-02-20 19:28:20.000;29.415;EUR
JP3358000002;2024-02-20 19:28:20.000;124.3;EUR
LU1737653631;2024-02-20 20:06:06.000;45.837;EUR
Gold;2024-02-20 20:06:06.000;1875.45;EUR
BTC;2024-02-20 20:06:06.000;47668.15;EUR
USD;2024-02-20 20:06:06.000;1.0808;EUR
FR0010315770;2024-02-20 20:06:06.000;299.95;EUR
IE00BKM4GZ66;2024-02-20 20:06:06.000;29.314;EUR
DE0008474503;2024-02-20 20:06:06.000;122.93;EUR
CA0679011084;2024-02-20 20:06:06.000;13.624;EUR
US0846707026;2024-02-20 20:06:06.000;377.16;EUR
US1912161007;2024-02-20 20:06:06.000;56.174;EUR
US5949181045;2024-02-20 20:06:06.000;370.59;EUR
